Title,Publisher,Published,Downloads,Pages,Category
Death is not the End. Death is Liberation,AiR-Atman in Ravi,Dec-18,262,104,Philosophy
Three Peaks of Happiness,AiR-Atman in Ravi,Dec-18,419,174,Philosophy
Who is God? Where is God? What is God?,AiR-Atman in Ravi,Nov-18,278,150,Philosophy
My Guru,AiR-Atman in Ravi,Nov-18,52,197,Philosophy
A Cosmic Drama,AiR-Atman in Ravi,Nov-18,266,110,Philosophy
Changing Paradigm,Ken Nakamura,Nov-18,304,30,Philosophy
"Symbols, Myth and Meaning",J.J Artemis,Jul-18,1780,83,Philosophy
Words of Wisdom,Raymond Russ,May-18,1178,22,Philosophy
The Ultimate Existential Reality Answer; Vedanta; God and Science,Ravi S. Iyer,Apr-18,264,125,Philosophy
A Slice of Life: A Collection of Essays,Dr Ram Lakhan Prasad,Feb-18,402,404,Philosophy
We Are Awakening,Anita B. Sulser,Jun-17,915,108,Philosophy
The A to Z of Life Philosophy,RVM,Mar-17,936,135,Philosophy
Talaash – Discover Your True Self,AiR,Oct-16,991,210,Philosophy
Mindfulness,Amaravati,Sep-16,936,50,Philosophy
Bridges for Honest Skeptics,Joel Lantz,Sep-16,498,1002,Philosophy
Solar Powered,Kakhaber Tukhashvili,Aug-16,121,33,Philosophy
Ergonocracy - New Ideology for a Human Adapted 21st century Regime,Jorge Alves,Aug-16,351,423,Philosophy
Nations are Men! Men are Nations!,Richard Shekari,Jul-16,145,44,Philosophy
The Key,Relenski Zortac,Jul-16,1686,232,Philosophy
Karmasutra-Cracking the Karmic Code,Hingori,Jun-16,577,139,Philosophy
Aatmasutra-Unveiling the Soul,Hingori,Jun-16,570,254,Philosophy
The Salvation  of Love And Love as Salvation,Laurence Robert Cohen,Apr-16,534,98,Philosophy
Heartfulness Magazine Issue 6,Sahaj Marg Spirituality Foundation,Mar-16,182,84,Philosophy
60 Reflections of Daily Philosophy to Get By,Raquel Couto Antelo,Feb-16,1185,127,Philosophy
Light: Philosophy,Ankur Mutreja,Jan-16,284,48,Philosophy
Spirituality,Eric EH Buddhadharma,Jan-16,509,10,Philosophy
Life Lessons from Grandpa and His Chicken Coop: A Playful Journey Through Some Serious Sh*t,Jacob Paul Patchen,Nov-15,1276,106,Philosophy
I Don't Know,Philip E. Graves,Oct-15,335,190,Philosophy
Cosmology,ALEXIS KARPOUZOS,Sep-15,569,57,Philosophy
Illusions - Maya,Natarajan Nagarethinam,Sep-15,445,82,Philosophy
Software and Mind: The Mechanistic Myth and Its Consequences,Andrei Sorin,May-15,1262,50,Philosophy
The Self-Criticism of Science,ALEXIS KARPOUZOS,Apr-15,362,27,Philosophy
ஓட்டங்கள்  (Spirituality Through Eyes of Science),Natarajan Nagarethinam,Jan-15,310,185,Philosophy
Tip Toe In The Briar Patch,Wade Welch,Oct-14,104,51,Philosophy
Selected African Proverbs From the Igbo people of Eastern Nigeria,Uzoma Azuonye,Jul-14,675,56,Philosophy
Les Origines Des Eaux De Source Dans Le Monde,Mohammad Amin Sheikho,May-14,44,141,Philosophy
The Most Important Knowledge You Would Ever Read Implement and Live up to Forever,Andy PSV,Mar-14,2263,554,Philosophy
Tell the Truth,Robert Velarosa,Mar-14,867,92,Philosophy
Proclus Diadochus on the Theology of Plato,Thomas Taylor,Dec-13,402,593,Philosophy
Forall X: An Introduction to Formal Logic,P. D. Magnus,Nov-13,711,160,Philosophy
The Sources of Spring Water in the World,Mohammad Amin Sheikho,Nov-13,304,120,Philosophy
In Medusa's Mirror,Maïa,Jul-13,464,145,Philosophy
"First Person Plural, Imperfect",Maia,Jul-13,704,246,Philosophy
In Whose Name?,Maïa,Jun-13,494,121,Philosophy
Introduction to Phenomenology,Dermot Moran,Mar-13,2252,616,Philosophy
Little Book Open - Securing a Narrow Clear Passage to the Future,David Butterworth,Feb-13,956,399,Philosophy
The Silent Whisperings Of The Heart,Swami Dhyan Giten,Jan-13,1228,56,Philosophy
The Psychic Thinker,Geoff Howard,Nov-12,986,52,Philosophy
Life in Two Worlds,Gerhard Nehls,Sep-12,791,102,Philosophy
Game of Life: The Fifth Flower,Asger Rosendal Thorn,Aug-12,1829,144,Philosophy
Thought Relics,Rabindranath Tagore,Aug-12,152,50,Philosophy
The Works,Tiago Bonacho,Jul-12,341,50,Philosophy
Altar of Peace,Tiago Bonacho,Jul-12,640,50,Philosophy
The Hidden Truth:  A Logical Path -  to Discover the Nature of Reality and the Meaning of Life,Wade C. Wilson,May-12,3590,148,Philosophy
"Our Holy Hell: The Causes, the Solutions",Aron Loyd,Dec-11,2508,389,Philosophy
Rayisms,Ray Rothbard,Nov-11,1528,28,Philosophy
Homo Sapience Joseph II,Joseph,Aug-11,1530,92,Philosophy
Talking AZA 1,Eugene Halliday,Aug-11,1845,28,Philosophy
Home Sweet Hell,Wade Welch,Aug-11,1380,21,Philosophy
Not Communication,Marc Burock,Jul-11,1776,96,Philosophy
Act of Giving,Wade Welch,Jul-11,3656,20,Philosophy
Maxims of Wisdom of Ancient Greece,John Kyriazoglou,Jul-11,3966,39,Philosophy
Deal or No Deal; The True Meaning of Life,Wade Welch,Jul-11,7821,25,Philosophy
Tomorrow's Science Today,Rodney Bartlett,Apr-11,9706,112,Philosophy
Will? I Am! : my Theory of Everythink,William,Mar-11,6644,75,Philosophy
Mystic Road,John Ivan Coby,Mar-11,3821,152,Philosophy
An Immortal Soul or an  Immortal Spirit - are  Both Immortal?,William West,Jan-11,10768,188,Philosophy
Beyond the Word: An Awakening,Elizabeth Hugate Hudgins,Nov-10,11441,336,Philosophy
Thoughts and Reflections,MVR Vidyasagar,Oct-10,51029,86,Philosophy
Earth Friendly Planet,Community Press,Oct-10,16493,63,Philosophy
ALICE HICKEY: Between Worlds,justin spring,Aug-10,22558,245,Philosophy
Secrets of the Mind,Len Berg,Aug-10,24511,119,Philosophy
Common Sense,Thomas Paine,Aug-10,31484,42,Philosophy
Focus - The Key to Success,CBTopSites,Aug-10,15996,16,Philosophy
My Choice to Abuse Drugs,Erekose,Aug-10,7515,44,Philosophy
Message of the Perfect World,Sanju Paison,Aug-10,6036,54,Philosophy
The Rights of Man,Thomas Paine,Aug-10,19713,180,Philosophy
The Art of Money - Getting or Golden Rules for Making Money,P.T. Barnum,Aug-10,5359,30,Philosophy
Divine Dews,Shakti Prasad Palo,Aug-10,3352,22,Philosophy
She Will Strike Back,N. B. Gore,Aug-10,2577,4,Philosophy
Maria or the Wrongs of Woman,Mary Wollstonecraft,Aug-10,11415,86,Philosophy
Personality Development,Alok Kumar Dubey,Aug-10,21318,11,Philosophy
Tame Your Brain,Jan Tincher,Aug-10,10043,27,Philosophy
70 of the Most Motivational Quotes Ever,Matthew Roberts,Aug-10,52040,10,Philosophy
Philosophy of Life and Other Essays,B.J. Gupta,Aug-10,11277,35,Philosophy
Codex Veritas Neo: The New Vision For a New Reality,Neo,Aug-10,8213,71,Philosophy
The Masters and the Path,C.W. Leadbeater,Aug-10,9587,251,Philosophy
Press 1 for Pig Latin,Robert S. Swiatek,Aug-10,7418,213,Philosophy
The Ten Dirty Secrets of Getting Enlightened,M.G.,Aug-10,6929,19,Philosophy
Finishing the Mysteries of Gods and Symbols,Seven Star Hand,Jul-10,27421,241,Philosophy
God's a Trip!,Jay M. Horne,May-10,14781,161,Philosophy
This Page Intentionally Left Blank -Just Like the Paychecks of the Workers,Robert S. Swiatek,Mar-10,8353,189,Philosophy
"Tick Tock, Don't Stop - A Manual for Workaholics",Robert S. Swiatek,Mar-10,6540,164,Philosophy
Falsehood: An Analysis of Illusion's Singularity,Marc Burock,Dec-09,5472,77,Philosophy
A New Earth and A New Universe,Rodney Bartlett,Sep-09,34738,125,Philosophy
The Books Of God,Ron Cash,Jan-25,57,242,History
Egyptian History,Amir masood,Jan-25,61,58,History
US Truths and Remedies,John C. Dean,May-24,150,87,History
The Cover-up General,Edwin Giltay,Apr-24,86,286,History
Guardians of Faith: The Hospitaller Order of St. Thomas of Acon,James K. Cater,Jan-24,41,92,History
PAST VOICES,Ian Matsuda,Jan-24,24,32,History
Celebrating New Beginnings: Global Traditions of the New Year.,Shalna Omaye,Dec-23,26,67,History
"THE HISTORY OF ALBINISM IN AFRICA-  Myths, Legends, and Superstitions",Benaiah Orajereyor Agejivwie,Jul-23,88,66,History
Jallikattu Jaathikattu (Tamil Edition),Adhi Asuran,May-23,10,90,History
JFK Assassination The Last Book,John C. Dean,Jan-23,264,89,History
Age of Bronze History Magazine vol.1,Maxim Ferapontov,Oct-22,120,50,History
Pelts and Palisades: The Story of Fur and the Rivalry for Pelts in Early America,Nathaniel C. Hale,Aug-22,116,288,History
Land Without Chimneys,Alfred Oscar Coffin,Aug-22,25,326,History
De teleurgang van het Ottomaanse Rijk,Jean Pierre Van Rossem,Aug-22,16,28,History
French Life in Town and Country,Hannah Lynch,Aug-22,86,251,History
Right and Wrong in Massachusetts,Maria Weston Chapman,Aug-22,28,137,History
The Story of Abraham Lincoln,Mary Agnes Hamilton,Jul-22,177,92,History
Dragons and Cherry Blossoms,Mrs. Robert C. Morris,Jul-22,50,124,History
Twenty Years at Sea: Leaves from my old log-books,Frederic Stanhope Hill,Jul-22,48,193,History
Under the German Shells,Emmanuel Bourcier,Jul-22,62,146,History
The Mexican War Diary of George B. McClellan,George B. McClellan,Jul-22,36,71,History
The book of the Ancient Greeks,Dorothy Mills,Jul-22,161,383,History
Es war nicht Bubenberg!,Michael Gauger,Jun-22,8,21,History
Friendly counsels for freedmen,J. B. Waterbury,Jun-22,24,25,History
"The Lenni Lenape, or Delaware Indians",Edwin Robert Walker,Jun-22,33,34,History
Old Indian trails,Walter McClintock,May-22,68,398,History
The American Navy,French Ensor Chadwick,May-22,32,221,History
Life of Her Majesty Queen Victoria,Dame Millicent Garrett Fawcett,May-22,70,276,History
Bring the Jubilee,Ward Moore,May-22,77,263,History
Forty Years of It,Brand Whitlock,May-22,66,383,History
The Druidess: A Story for Boys and Others,Florence Gay,May-22,27,149,History
Peru: A land of contrast,Millicent Todd Bingham,Apr-22,50,226,History
First Theater in America,Charles P. Daly,Apr-22,23,120,History
Mandalay to Momien,John Anderson,Apr-22,26,418,History
Stories from the Crusades,Janet Harvey Kelman,Apr-22,134,76,History
Ancient Archers,Lonnie Goff,Apr-22,55,50,History
The Lone Swallows,Henry Williamson,Apr-22,20,153,History
The Truth About Congo Free State,F. Starr,Apr-22,65,122,History
Through Colonial Doorways,Anne Hollingsworth Wharton,Apr-22,34,155,History
The Mirror of the Graces,Unknown,Apr-22,45,158,History
The River of London,Hilaire Belloc,Apr-22,28,92,History
Winchester Painted,Telford Varley,Apr-22,17,201,History
The Irish Nuns at Ypres: An Episode of the War,Dame M. Columban,Apr-22,31,142,History
The Native Races of East Africa,Wilfrid D. Hambly,Apr-22,52,53,History
Peaks of Shala,Rose Wilder Lane,Apr-22,19,334,History
White Mountain Trails,Winthrop Packard,Apr-22,42,218,History
News from No Man's Land,James Green,Apr-22,87,83,History
Father Thames,Walter Higgins,Apr-22,19,261,History
Famous Colonial Houses,Paul M. Hollister,Mar-22,50,172,History
Africa and the American Flag,Andrew H. Foote,Mar-22,48,328,History
The Native Races of British North America,Wilfrid D. Hambly,Mar-22,50,63,History
The Two Dianas:  Volume 3,ALEXANDRE DUMAS,Mar-22,30,410,History
The Two Dianas:  Volume 2,ALEXANDRE DUMAS,Mar-22,30,442,History
The Two Dianas:  Volume 1,ALEXANDRE DUMAS,Mar-22,39,431,History
Woman in the Golden Ages,Amelia Gere Mason,Mar-22,71,321,History
"Cavalry Curt: Or, The Wizard Scout of the Army",George Waldo Browne,Feb-22,60,122,History
Origins of the Celts,Cryfris Llydaweg,Feb-22,209,76,History
A Gringo in Mañana-Land,Harry L. Foster,Feb-22,25,345,History
Sidelights on Negro Soldiers,Charles H. Williams,Jan-22,103,211,History
The Moon: A Popular Treatise,Garrett Putman Serviss,Dec-21,45,209,History
Historical Characters in the Reign of Queen Anne,Mrs. Oliphant,Dec-21,97,237,History
The Passing of Morocco,Frederick F. Moore,Nov-21,53,121,History
"The Makers of Modern Rome, in Four Books",Mrs. Oliphant,Nov-21,77,630,History
Vicksburg,J. Frank Hanly,Nov-21,28,16,History
Inside the Russian Revolution,Rheta Childe Dorr,Nov-21,130,226,History
A Soldier’s Diary,Ralph Scott,Nov-21,126,105,History
Rasputin and the Russian Revolution,Princess Catherine Radziwill,Nov-21,99,283,History
The Valley of Democracy,Meredith Nicholson,Nov-21,55,241,History
"The Chronicles of Enguerrand de Monstrelet, Vol. 8 [of 13]",Monstrelet,Oct-21,20,316,History
"The Chronicles of Enguerrand de Monstrelet, Vol. 7 [of 13]",Monstrelet,Oct-21,16,315,History
"The Chronicles of Enguerrand de Monstrelet, Vol. 6 [of 13]",Monstrelet,Oct-21,19,312,History
Tunisia Campaign with drawings by Carol Johnson,Richard Clarke,Oct-21,48,59,History
The Book of Gallant Vagabonds,Henry Beston,Oct-21,27,148,History
South Africa; vol II.,Anthony Trollope,Oct-21,54,294,History
South Africa; vol I.,Anthony Trollope,Oct-21,74,313,History
The History of the Peloponnesian War,Thucydides,Oct-21,69,655,History
The Whole Truth and Nothing But,James Brough and Hedda Hopper,Oct-21,26,446,History
Lucian's True History,of Samosata Lucian,Oct-21,73,80,History
"The Story of Rome, From the Earliest Times to the Death of Augustus, Told to Boys and Girls",Mary Macgregor,Oct-21,89,552,History
"The Story of the Sun: New York, 1833-1918",Frank Michael O'Brien,Oct-21,16,474,History
Wood Wanderings,Winthrop Packard,Sep-21,45,98,History
Woodland Paths,Winthrop Packard,Sep-21,48,128,History
Wildwood Ways,Winthrop Packard,Sep-21,52,112,History
The Seven Lively Arts,Gilbert Seldes,Sep-21,88,339,History
The Tangled Skein,Baroness Orczy,Sep-21,40,370,History
A Sheaf of Bluebells,Baroness Orczy,Sep-21,31,416,History
Pimpernel and Rosemary,Baroness Orczy,Sep-21,39,418,History
The Noble Rogue,Baroness Orczy,Sep-21,40,478,History
The Cat at Light's End,Charlie Dickinson,Aug-21,58,186,History
Playing with Fire: A Story of the Soudan War,James Grant,Aug-21,66,504,History
"Jill, Vol. 2",E. A. Dillwyn,Jul-21,18,171,History
"Jill, Vol. 1",E. A. Dillwyn,Jul-21,21,177,History
Magic London,Netta Syrett,Jul-21,70,221,History
In the Beginning,Ellen G. White,May-21,183,521,History
From Here to Forever,Ellen G. White,May-21,72,458,History
The Nagorno-Karabakh Conflict Between Armenia and Azerbaijan the Roots of Problem and Prospects for a Settlement,Ramiz Mehdiyev,Jun-20,143,60,History
Pogroms And Other Atrocities,Bassam  Imam,May-20,471,89,History
Bible Of The Freeborn American Patriot Book 2,H.L. Dowless,Mar-20,295,285,History
Bible Of The Freeborn American Patriot,H.L. Dowless,Mar-20,556,167,History
The Path of Splitness,Indrek Pringi,Feb-20,828,2771,History
Sports Scandals and Crimes in the United States (selected cases),Michael Erbschloe,Aug-19,262,55,History
The Ugliness of White Supremacy Extremists: Field Notes from 2019,Michael Erbschloe,Aug-19,326,55,History
Modern Cases of Espionage in the United States (1975 – 2008),Michael Erbschloe,Aug-19,573,85,History
Office of the Inspector General: Review of Seven Offices,Michael Erbschloe,Jul-19,48,54,History
"Mount Olympus Ancient Sites, Museums, Monasteries and Churches",Jürgen Weidner,May-19,298,50,History
Wolseley Anzacs,Ben Matthews,Mar-19,289,80,History
Reclaiming the Spoils of Annwfyn: Regia Altera and the landscape of the Mabinogi,Gerard Beggan,Mar-19,80,86,History
The Butterfield Trail Through The Concho Valley and West Texas,Tom Ashmore,Jan-19,324,150,History
"Merrymeeting Forge, Gwennap, UK  - a History",Leonard Szepietowski,Aug-18,124,74,History
The Outstanding Success of the U.S. Securities and Exchange Commission,Michael Erbschloe,Feb-18,264,116,History
Nasty Stuff About North Korea,Michael Erbschloe,Feb-18,871,52,History
Nasty Stuff About Russia,Michael Erbschloe,Feb-18,596,54,History
Trail of Poppies,Phil Brotherton,Jan-18,859,220,History
The Dowager Highlander,Hugh Frazer,Aug-17,242,76,History
U.S. Military Educational Institutions,Michael Erbschloe,Feb-17,448,62,History
Brief Histories of U.S. Government Agencies Volume Five,Michael Erbschloe,Feb-17,357,97,History
Brief Histories of U.S. Government Agencies Volume Four,Michael Erbschloe,Feb-17,254,84,History
Brief Histories of U.S. Government Agencies Volume Three,Michael Erbschloe,Feb-17,261,101,History
Brief Histories of U.S. Government Agencies Volume Two,Michael Erbschloe,Feb-17,360,117,History
Brief Histories of U.S. Government Agencies Volume One,Michael Erbschloe,Feb-17,621,111,History
Naval Warfare in World War Two,Bill Brady,Dec-16,1942,256,History
Victim Zero: The Internet Bullying of Monica Lewinsky,Michael Erbschloe,Oct-16,497,74,History
101 Arabian Hours,Terry J. Walters,Oct-16,388,124,History
US Pacific Victory in World War Two,Bill Brady,Sep-16,1398,155,History
Thinking Leadership in Africa,Allan Bukusi,Aug-16,1078,139,History
Commanders of World War Two,Bill Brady,Jun-16,2049,217,History
Nutuk (Turkish Edition),Mustafa Kemal Ataturk,Jun-16,253,614,History
Aramaic and Hebrew the Languages Spoken in 1st Century CE Judea,Camilo Ezagui Menashe,Mar-16,945,28,History
The Wars for the Silk Roads,Iakovos Alhadeff,Feb-16,1939,59,History
"A History of Limmer -Person, Place and Thing",Brian E. R. Limmer,Dec-15,162,306,History
21 Manfaat Belajar Sejarah,Hanif Amin,Dec-15,67,21,History
Authentic Nguni Peoples HIstory,KE Hlongwane,Nov-15,431,252,History
The Guns of Tomaree,Joseph Michael Smith,Jul-15,168,38,History
Koonorigan,Joseph  Michael Smith,Jul-15,154,57,History
The First World War for Oil 1914-1918,Iakovos Alhadeff,Jun-15,2125,39,History
The Forgotten People & Company,Henry Smith,Jun-15,349,60,History
Hindu Rites of Passage: A Historical Overview,Jayanta Bhattacharya,May-15,558,248,History
Texas Petroleum: The Unconventional History,Mike Cox,Apr-15,906,298,History
Historic Frederick County: The Story of Frederick & Frederick County,Christopher N. Butler,Apr-15,157,98,History
Oneida County: An Illustrated History,Oneida County Historical Society,Mar-15,136,146,History
Historic Columbus: A Bicentennial History,Ed Lentz,Mar-15,215,202,History
The Swamp of Despair,Dumitru Bordeianu,Jan-15,904,898,History
Sejarah Ringkas Kesusastraan Indonesia,Muhri,Jan-15,246,73,History
Alb pe Alb,Eugenia Bogdan,Dec-14,66,160,History
Did You Know?,David Barrow,Nov-14,4291,124,History
Incredible & Crazy Stories From History,David Barrow,Nov-14,7347,165,History
Lessons in Non-violent Civil Disobedience from the life of M. K. Gandhi and his Legacy,Arun J. Mehta,Nov-14,1380,186,History
Fort Collins at 150: A Sesquicentennial History,Wayne Sundberg,Nov-14,192,246,History
Under Three Flags in Cuba,Adrian Musgrave,Oct-14,440,106,History
To Kumassi with Scott,Adrian Musgrave,Oct-14,261,101,History
Medieval Today,Arcaeditora,Aug-14,134,235,History
The Art of War,Sun Tzu (original),Apr-14,5460,34,History
Presidents' Body Counts: The Twelve Worst and Four Best American Presidents,Al Carroll,Mar-14,1347,511,History
Making Peace After Genocide,Howard Wolpe,Feb-14,205,80,History
Profiles in Leadership,Central Intelligence Agency,Feb-14,535,61,History
Trouthe is the Highest Thing,Robert B. Waltz,Jan-14,231,85,History
King Alfred's Viking,Charles W. Whistler,Jan-14,1157,139,History
The Story of the Greeks,H. A. Guerber,Jan-14,1173,101,History
The Story of Geographical Discovery: How the World Became Known,Joseph Jacobs,Dec-13,1101,83,History
Peter Parley's Tales about America and Australia,Samuel Griswold Goodrich,Dec-13,373,90,History
Outline of US History,U.S. Department of State,Dec-13,2268,380,History
Historical World Atlas,Patrick K. O'brien,Dec-13,1333,312,History
USA Literature in Brief,Kathryn Vanspanckeren,Dec-13,256,56,History
Historians on America,"Doug Linder, Carl F. Kaestle, et al",Dec-13,303,92,History
The Long March of Progress,Mahmood Hasan Khan,Oct-13,1628,576,History
Prospects to Prosperity: The Story of Oklahoma's Oil & Gas Industry,Bob Burke and Eric Dabney,Oct-13,319,358,History
King Tut,Egyking,Aug-13,2038,18,History
The Gest of Robyn Hode: A Critical and Textual Commentary,Robert B. Waltz,May-13,3448,617,History
The Minnesota Heritage Songbook,Robert B. Waltz,May-13,151,82,History
The Bible in History,Robert B. Waltz,Apr-13,6359,638,History
Treason: The Violation of Trust,Janet Hudgins,Nov-12,1884,245,History
The exploration of the world (1882),Jules Verne,Aug-12,462,50,History
Sephardic Farewell/Ancestors,Joseph Hobesh,Jul-12,2815,50,History
"When You Ride Alone, You Ride With Hitler!",Bill Edwards,Apr-12,2924,35,History
God of Hunger,John Coutouvidis,Jan-12,4735,208,History
The Intent,Jurgen Beck,Nov-11,3271,161,History
The White Company,Sir Arthur Conan Doyle,Oct-11,9316,50,History
Silence of a Soldier,William J. Duggan,Sep-11,9472,43,History
La Fase Oculta de la Guerra Civil en Costa Rica,Jacobo Schifter,Jul-11,316,151,History
Hitler en Centroamérica,Jacobo Schifter,Jun-11,4199,274,History
Hitler in Central America,Jacobo Schifter,Jun-11,42453,281,History
The United States Coast Guard 1790 to the Present - A History,Thomas P. Ostrom,Mar-11,8910,133,History
The United States Coast Guard on the Great Lakes,Thomas P. Ostrom,Mar-11,7730,98,History
Betty Zane,Zane Grey,Aug-10,27261,214,History
The Spirit of the Border,Zane Grey,Aug-10,16740,214,History
My Life in Paris,Anna Belle,Aug-10,14355,3,History
Sovereignty over the Paracel and Spratly Islands,Monique Chemillier-Gendreau,Aug-10,11751,249,History
Over the Top with the Third Australian Division,G. P. Cuttriss,Aug-10,8931,53,History
The Retro Express,Jack Joseph de Roco,Mar-10,11928,39,History
Learning To Walk - A Soldier's Story,Clifford Beck,Mar-26,0,239,Drama
The Blackfire Protocol,Clifford Beck,Mar-26,0,228,Drama
"The Bayou Sisters Saga: A Story of Love, Corporate Evil, and the Extraordinaire Bayou Family",Andre Michael Pietroschek,Feb-26,3,65,Drama
Netenyahu of the 16th Century,The Protected by Allah,Feb-26,3,286,Drama
Who's Watching Who?,Edward Drobinski,Jan-26,11,372,Drama
The Cain In The Field,Martin Francom,Dec-25,29,420,Drama
The Bureau of Dreams to be Continued,Edward Drobinski,Nov-25,8,771,Drama
Captive of the sea,Brandon McYntire,Oct-25,8,20,Drama
Sudetenland Tales,Edward Drobinski,Aug-25,17,615,Drama
A Bird Alone,Ericka Clay,Aug-25,17,250,Drama
Dear Hearts,Ericka Clay,Aug-25,59,110,Drama
A Violent Hope,Ericka Clay,Jul-25,41,246,Drama
Unkept,Ericka Clay,Jul-25,29,256,Drama
Damaged Goods,Diane McNab,May-25,34,129,Drama
Twin Advent,Edward Drobinski,Feb-25,101,159,Drama
The Last Gasps of Indian Summer,Edward Drobinski,Feb-25,60,1483,Drama
Seven Stud,Edward Drobinski,Feb-25,36,211,Drama
Wilbur,Edward Drobinski,Feb-25,35,148,Drama
D.I.S.S.U.S. 2030,Edward Drobinski,Feb-25,36,274,Drama
Narragansett Pier After Midnight,Edward Drobinski,Feb-25,38,169,Drama
Democratic License,Edward Drobinski,Feb-25,43,287,Drama
